;-ÿAcebeda-La;41.0930184542923,-3.6201388451;
0;-ÿAjalvir;40.5290869072082,-3.4765786497;
1;-ÿAlameda-del-Valle;40.9204642345628,-3.8482444566;
2;-ÿalamo-El;40.2328447920607,-3.9873046784;
3;-ÿAlcala-de-Henares;40.4994044151797,-3.3401732231;
4;-ÿAlcobendas;40.5361528074896,-3.6291320200;
5;-ÿAlcorcon;40.3492301805427,-3.8284724950;
6;-ÿAldea-del-Fresno;40.3064188142099,-4.2175445017;
7;-ÿAlgete;40.6149831488445,-3.5332791623;
8;-ÿAlpedrete;40.6619057447873,-4.0188988955;
9;-ÿAmbite;40.3425539086476,-3.1719971825;
10;-ÿAnchuelo;40.4688341160077,-3.2765909995;
11;-ÿAranjuez;40.0201959278488,-3.6590717053;
12;-ÿArganda-del-Rey;40.2963710574893,-3.4494456553;
13;-ÿArroyomolinos;39.14453538418,-6.145081978888;
14;-ÿAtazar-El;40.9291900455952,-3.4725994424;
15;-ÿBatres;40.2253756745192,-3.9279972834;
16;-ÿBecerril-de-la-Sierra;40.7030728964239,-3.9336828559;
17;-ÿBelmonte-de-Tajo;40.1329438910525,-3.3375285243;
18;-ÿBerrueco-El;40.8882301695029,-3.5532282577;
19;-ÿBerzosa-del-Lozoya;40.973604970757,-3.53245574777;
20;-ÿBoadilla-del-Monte;40.4046078284925,-3.8846969604;
21;-ÿBoalo-El;40.7010483087815,-3.9146047118;
22;-ÿBraojos;41.0566159150237,-3.6558104438;
23;-ÿBrea-de-Tajo;40.2386793085996,-3.1200750208;
24;-ÿBrunete;40.399571349713,-3.99752718267;
25;-ÿBuitrago-del-Lozoya;40.9941858015711,-3.6353828942;
26;-ÿBustarviejo;40.843724975422,-3.73083730601;
27;-ÿCabanillas-de-la-Sierra;40.8257025502559,-3.6367763845;
28;-ÿCabrera-La;40.8642054412246,-3.6082815679;
29;-ÿCadalso-de-los-Vidrios;40.2984134476714,-4.4388129975;
30;-ÿCamarma-de-Esteruelas;40.5630469260784,-3.3745794039;
31;-ÿCampo-Real;40.3223777787187,-3.3776661193;
32;-ÿCanencia;40.8925333651324,-3.7553349040;
33;-ÿCarabana;40.2553703051457,-3.2468310609;
34;-ÿCasarrubuelos;40.1748885191372,-3.8268498010;
35;-ÿCenicientos;40.2420725209193,-4.5083586413;
36;-ÿCercedilla;40.7569931686613,-4.0542201025;
37;-ÿCervera-de-Buitrago;40.9133961387403,-3.5189323451;
38;-ÿChapineria;40.3684718429488,-4.1995337476;
39;-ÿChinchon;40.1549814218151,-3.4881270304;
40;-ÿCiempozuelos;40.1535990132937,-3.6000997496;
41;-ÿCobena;40.572988892993,-3.50784095999;
42;-ÿCollado-Mediano;40.6938482558087,-4.0324398224;
43;-ÿCollado-Villalba;40.642970427116,-3.99051888389;
44;-ÿColmenar-de-Oreja;40.073566869533,-3.45799369464;
45;-ÿColmenar-del-Arroyo;40.3962749968664,-4.1765863985;
46;-ÿColmenar-Viejo;40.6402717148913,-3.7315088778;
47;-ÿColmenarejo;40.5302453656987,-4.0161034264;
48;-ÿCorpa;40.4247072043134,-3.2504958142;
49;-ÿCoslada;40.4290160730953,-3.5515910088;
50;-ÿCubas-de-la-Sagra;40.1916176609962,-3.8341913675;
51;-ÿDaganzo-de-Arriba;40.5625325023194,-3.4398829922;
52;-ÿEscorial-El;40.5741999819206,-4.0969685246;
53;-ÿEstremera;40.1401713329908,-3.0937353480;
54;-ÿFresnedillas-de-la-Oliva;40.4748283396668,-4.1787986430;
55;-ÿFresno-de-Torote;40.6045758335124,-3.4040291287;
56;-ÿFuenlabrada;40.2885396922775,-3.7972964655;
57;-ÿFuente-el-Saz-de-Jarama;40.6386828713088,-3.5212288722;
58;-ÿFuentiduena-de-Tajo;40.1136414461273,-3.1645427223;
59;-ÿGalapagar;40.5594660801075,-3.9766931437;
60;-ÿGarganta-de-los-Montes;40.9396966806867,-3.6853590673;
61;-ÿGargantilla-del-Lozoya-y-Pinil;40.426175,-3.685144;
62;-ÿGascones;41.0289808906436,-3.6614941847;
63;-ÿGetafe;40.2946271550975,-3.6597791543;
64;-ÿGrinon;40.2216027579072,-3.8420288717;
65;-ÿGuadalix-de-la-Sierra;40.7708873726963,-3.6776012313;
66;-ÿGuadarrama;40.6817357921149,-4.0909462877;
67;-ÿHiruela-La;41.0744404133606,-3.4474952580;
68;-ÿHorcajo-de-la-Sierra;41.0798335874109,-3.5894455145;
69;-ÿHorcajuelo-de-la-Sierra;41.0752934394074,-3.5484963685;
70;-ÿHoyo-de-Manzanares;40.6222917830927,-3.9087295532;
71;-ÿHumanes-de-Madrid;40.2489600508098,-3.8223608681;
72;-ÿLeganes;40.3273607712904,-3.7793069516;
73;-ÿLoeches;40.3828515495384,-3.4206110481;
74;-ÿLozoya;40.9600466381477,-3.7813464562;
75;-ÿLozoyuela-Navas-Sieteiglesias;40.9215362282211,-3.6155372696;
76;-ÿMadarcos;41.0365837796632,-3.5750787424;
77;-ÿMadrid;40.4893538421231,-3.6827461557;
78;-ÿMajadahonda;40.4738525865893,-3.8699340820;
79;-ÿManzanares-el-Real;40.740639286842,-3.90052669254;
80;-ÿMeco;40.5531350118786,-3.3279991149;
81;-ÿMejorada-del-Campo;40.4020561889652,-3.4756400855;
82;-ÿMiraflores-de-la-Sierra;40.7844234310237,-3.7598255117;
